protName
"(+)-alpha-pinene synthase, chloroplastic"
AT4G15530.5
AT4G15530.6
AT4G15530.7
AT4G15540.1
AT4G15540.2
AT4G15545.1
AT4G15550.1
AT4G15560.1
AT4G15562.1
AT4G15563.1
AT4G15563.10
AT4G15563.2
AT4G15563.3
AT4G15563.4
AT4G15563.5
AT4G15563.6
AT4G15563.7
AT4G15563.8
AT4G15563.9
AT4G15570.1
AT4G15570.2
AT4G15570.3
AT4G15570.4
AT4G15610.1
AT4G15610.2
AT4G15620.1
AT4G15630.1
AT4G15640.1
AT4G15640.2
AT4G15650.1
AT4G15660.1
AT4G15670.1
AT4G15680.1
AT4G15690.1
AT4G15700.1
AT4G15710.1
AT4G15715.1
AT4G15720.1
AT4G15730.1
AT4G15730.2
AT4G15733.1
AT4G15735.1
AT4G15740.1
AT4G15750.1
AT4G15755.1
AT4G15760.1
AT4G15760.2
AT4G15765.1
AT4G15765.2
AT4G15765.3
AT4G15765.4
AT4G15765.5
AT4G15770.1
AT4G15780.1
AT4G15790.1
AT4G15790.2
AT4G15800.1
AT4G15802.1
AT4G15810.1
AT4G15820.1
AT4G15830.1
AT4G15840.1
AT4G15840.2
AT4G15850.1
AT4G15880.1
AT4G15880.2
AT4G15885.1
AT4G15890.1
AT4G15890.2
AT4G15900.1
AT4G15910.1
AT4G15920.1
AT4G15930.1
AT4G15930.2
AT4G15953.1
AT4G15955.1
AT4G15955.2
AT4G15955.3
AT4G15960.1
AT4G15970.1
AT4G15975.1
AT4G15980.1
AT4G15980.2
AT4G15990.1
AT4G16000.1
AT4G16008.1
AT4G16015.1
AT4G16015.2
AT4G16024.1
AT4G16030.1
AT4G16040.1
AT4G16040.2
AT4G16045.1
AT4G16050.1
AT4G16060.1
AT4G16070.1
AT4G16070.2
AT4G16070.3
AT4G16080.1
AT4G16090.1
AT4G16095.1
AT4G16100.1
AT4G16110.1
AT4G16120.1
AT4G16130-MONOMER
AT4G16130.1
AT4G16140.1
AT4G16140.2
AT4G16141.1
AT4G16143.1
AT4G16143.2
AT4G16144.1
AT4G16146.1
AT4G16150.1
AT4G16155.1
AT4G16160.1
AT4G16160.2
AT4G16162.1
AT4G16162.2
AT4G16162.3
AT4G16162.4
AT4G16162.5
AT4G16162.6
AT4G16165.1
AT4G16180.1
AT4G16180.2
AT4G16190.1
AT4G16195.1
AT4G16200.1
AT4G16215.1
AT4G16220.1
AT4G16230.1
AT4G16233.1
AT4G16240.1
AT4G16250.1
AT4G16260.1
AT4G16260.2
AT4G16265.1
AT4G16265.2
AT4G16280.1
AT4G16280.2
AT4G16280.3
AT4G16280.4
AT4G16295.1
AT4G16310.1
AT4G16310.2
AT4G16310.3
AT4G16310.4
AT4G16310.5
AT4G16330.1
AT4G16330.2
AT4G16340.1
AT4G16340.2
AT4G16350.1
AT4G16350.2
AT4G16360.1
AT4G16370.1
AT4G16380.1
AT4G16380.2
AT4G16380.3
AT4G16380.4
AT4G16390.1
AT4G16400.1
AT4G16410.1
AT4G16420.1
AT4G16420.2
AT4G16420.3
AT4G16430.1
AT4G16440.1
AT4G16442.1
AT4G16444.1
AT4G16447.1
AT4G16450.2
AT4G16451.1
AT4G16460.1
AT4G16460.2
AT4G16460.3
AT4G16470.1
AT4G16480.1
AT4G16480.2
AT4G16480.3
AT4G16490.1
AT4G16500.1
AT4G16500.2
AT4G16510.1
AT4G16510.2
AT4G16515.1
AT4G16515.2
AT4G16520.1
AT4G16520.2
AT4G16520.3
AT4G16530.1
AT4G16535.1
AT4G16540.1
AT4G16540.2
AT4G16540.3
AT4G16540.4
AT4G16545.1
AT4G16550.1
AT4G16555.1
AT4G16560.1
AT4G16563.1
AT4G16566.1
AT4G16566.2
AT4G16566.3
AT4G16570.1
AT4G16580.1
AT4G16590
AT4G16600.1
AT4G16610.1
AT4G16620.1
AT4G16620.2
AT4G16620.3
AT4G16620.4
AT4G16630.1
AT4G16640.1
AT4G16650.1
AT4G16650.2
AT4G16660.1
AT4G16660.2
AT4G16670.1
AT4G16670.2
AT4G16670.3
AT4G16680.1
AT4G16680.2
AT4G16690.1
AT4G16695.1
AT4G16695.2
AT4G16695.3
AT4G16695.4
AT4G16695.5
AT4G16700.1
AT4G16700.2
AT4G16710.2
AT4G16710.3
AT4G16710.4
AT4G16720.1
AT4G16730
AT4G16730.2
AT4G16740-MONOMER
AT4G16740.1
AT4G16740.2
AT4G16740.3
AT4G16740.4
AT4G16745.1
AT4G16745.2
AT4G16750.1
AT4G16760-MONOMER
AT4G16760.1
AT4G16760.2
AT4G16765.1
AT4G16765.2
AT4G16765.3
AT4G16765.4
AT4G16765.5
AT4G16765.6
AT4G16770.1
AT4G16780.1
AT4G16790.1
AT4G16800.1
AT4G16807.1
AT4G16810.1
AT4G16820.1
AT4G16830.1
AT4G16830.2
AT4G16830.3
AT4G16835.1
AT4G16840.1
AT4G16845.1
AT4G16845.2
AT4G16850.1
AT4G16855.1
AT4G16855.2
AT4G16857.1
AT4G16857.2
AT4G16860.1
AT4G16860.2
AT4G16880.1
AT4G16890.1
AT4G16890.2
AT4G16890.3
AT4G16890.4
AT4G16890.5
AT4G16900.1
AT4G16900.2
AT4G16900.3
AT4G16915.1
AT4G16920.1
AT4G16920.2
AT4G16920.3
AT4G16920.4
AT4G16920.5
AT4G16920.6
AT4G16920.7
AT4G16920.8
AT4G16920.9
AT4G16930.1
AT4G16940.1
AT4G16940.2
AT4G16940.3
AT4G16940.4
AT4G16940.5
AT4G16940.6
AT4G16950.1
AT4G16950.2
AT4G16950.3
AT4G16950.4
AT4G16950.5
AT4G16950.6
AT4G16955.1
AT4G16957.1
AT4G16960.1
AT4G16970.1
AT4G16980.1
AT4G16983.1
AT4G16990.1
AT4G16990.10
AT4G16990.11
AT4G16990.12
AT4G16990.13
AT4G16990.14
AT4G16990.15
AT4G16990.16
AT4G16990.17
AT4G16990.18
AT4G16990.19
AT4G16990.2
AT4G16990.3
AT4G16990.4
AT4G16990.5
AT4G16990.6
AT4G16990.7
AT4G16990.8
AT4G16990.9
AT4G17000.1
AT4G17000.2
AT4G17000.3
AT4G17010.1
AT4G17020.1
AT4G17020.2
AT4G17020.3
AT4G17030.1
AT4G17040.1
AT4G17050-MONOMER
AT4G17050.1
AT4G17060.1
AT4G17070.1
AT4G17080.1
AT4G17085.1
AT4G17090.1
AT4G17100.1
AT4G17100.2
AT4G17140.1
AT4G17140.2
AT4G17140.3
AT4G17150.1
AT4G17150.2
AT4G17150.3
AT4G17150.4
AT4G17150.5
AT4G17160.1
AT4G17170.1
AT4G17180.1
AT4G17190-MONOMER
AT4G17190.1
AT4G17190.2
AT4G17190.3
AT4G17200.1
AT4G17210.1
AT4G17215.1
AT4G17220.1
AT4G17230.1
AT4G17230.2
AT4G17240.1
AT4G17240.2
AT4G17243.1
AT4G17245.1
AT4G17250.1
AT4G17250.2
AT4G17250.3
AT4G17260.1
AT4G17270.1
AT4G17280.1
AT4G17300.1
AT4G17300.2
AT4G17310.1
AT4G17310.10
AT4G17310.11
AT4G17310.12
AT4G17310.13
AT4G17310.14
AT4G17310.15
AT4G17310.16
AT4G17310.17
AT4G17310.2
AT4G17310.3
AT4G17310.4
AT4G17310.5
AT4G17310.6
AT4G17310.7
AT4G17310.8
AT4G17310.9
AT4G17330.1
AT4G17330.2
AT4G17330.3
AT4G17340.1
AT4G17350.1
AT4G17360.1
AT4G17360.2
AT4G17360.3
AT4G17370.1
AT4G17370.2
AT4G17380.1
AT4G17380.2
AT4G17390.1
AT4G17410.1
AT4G17410.2
AT4G17410.3
AT4G17410.4
AT4G17410.5
AT4G17410.6
AT4G17420.1
AT4G17420.2
AT4G17420.3
AT4G17430.1
AT4G17440.1
AT4G17440.2
AT4G17440.3
AT4G17440.4
AT4G17460.1
AT4G17470.1
AT4G17470.2
AT4G17470.3
AT4G17470.4
AT4G17480.1
AT4G17480.2
AT4G17480.3
AT4G17480.4
AT4G17483.1
AT4G17483.2
AT4G17483.3
AT4G17483.4
AT4G17483.5
AT4G17486.1
AT4G17486.2
AT4G17490.1
AT4G17500.1
AT4G17505.1
AT4G17510.1
AT4G17520.1
AT4G17530.1
AT4G17540.1
AT4G17550.1
AT4G17560.1
AT4G17565.1
AT4G17570.1
AT4G17570.2
AT4G17570.3
AT4G17580.1
AT4G17585.1
AT4G17590.1
AT4G17590.2
AT4G17600.1
AT4G17610.1
AT4G17610.2
AT4G17610.3
AT4G17615.1
AT4G17615.2
AT4G17615.3
AT4G17615.4
AT4G17615.5
AT4G17616.1
AT4G17620.1
AT4G17620.2
AT4G17620.3
AT4G17640.1
AT4G17640.2
AT4G17650.1
AT4G17660.1
AT4G17670.1
AT4G17680.1
AT4G17680.2
AT4G17680.3
AT4G17695.1
AT4G17700.1
AT4G17710.1
AT4G17713.1
AT4G17718.1
AT4G17720.1
AT4G17730 protein
AT4G17730.1
AT4G17730.2
AT4G17740.1
AT4G17740.2
AT4G17750.1
AT4G17760.1
AT4G17760.2
AT4G17770.1
AT4G17770.2
AT4G17780.1
AT4G17785.1
AT4G17785.2
AT4G17790.1
AT4G17800.1
AT4G17810.1
AT4G17810.2
AT4G17830
AT4G17830.1
AT4G17840.1
AT4G17850.1
AT4G17860.1
AT4G17870.1
AT4G17880.1
AT4G17890.1
AT4G17890.2
AT4G17895.1
AT4G17900.1
AT4G17900.2
AT4G17905.1
AT4G17905.2
AT4G17910.1
AT4G17910.2
AT4G17910.3
AT4G17910.4
AT4G17920.1
AT4G17940.1
AT4G17950.1
AT4G17960.1
AT4G17970.1
AT4G17980.1
AT4G17980.2
AT4G17990.1
AT4G17990.2
AT4G18010.1
AT4G18010.2
AT4G18020.1
AT4G18020.10
AT4G18020.11
AT4G18020.2
AT4G18020.3
AT4G18020.4
AT4G18020.5
AT4G18020.6
AT4G18020.7
AT4G18020.8
AT4G18020.9
AT4G18030.1
AT4G18040.1
AT4G18050.1
AT4G18050.2
AT4G18060.1
AT4G18070 protein
AT4G18070.1
AT4G18070.2
AT4G18070.3
AT4G18070.4
AT4G18070.5
AT4G18070.6
AT4G18070.7
AT4G18080.1
AT4G18090.1
AT4G18100.1
AT4G18110.1
AT4G18130.1
AT4G18140.1
AT4G18140.2
AT4G18140.3
AT4G18140.4
AT4G18140.5
AT4G18140.6
AT4G18150.1
AT4G18160.1
AT4G18170.1
AT4G18180.1
AT4G18190.1
AT4G18195.1
AT4G18197.1
AT4G18203.1
AT4G18205.1
AT4G18210.1
AT4G18215.1
AT4G18220.1
AT4G18230.1
AT4G18230.2
AT4G18230.3
AT4G18230.4
AT4G18240.1
AT4G18253.1
AT4G18260.1
AT4G18280.1
AT4G18290.1
AT4G18290.2
AT4G18300.1
AT4G18310.1
AT4G18320.1
AT4G18320.2
AT4G18330.1
AT4G18330.2
AT4G18335.1
AT4G18340.1
AT4G18340.2
AT4G18350-MONOMER
AT4G18350.1
AT4G18360.1
AT4G18360.2
AT4G18360.3
AT4G18360.4
AT4G18370.1
AT4G18370.2
AT4G18370.3
AT4G18372.1
AT4G18372.2
AT4G18375.1
AT4G18375.2
AT4G18375.3
AT4G18380.1
AT4G18380.2
AT4G18390.1
AT4G18390.2
AT4G18395.1
AT4G18400.1
AT4G18422.1
AT4G18425.1
AT4G18430.1
AT4G18440.1
AT4G18450.1
AT4G18460.1
AT4G18460.2
AT4G18465.1
AT4G18470.1
AT4G18480.1
AT4G18490.1
AT4G18490.2
AT4G18490.3
AT4G18490.4
AT4G18490.5
AT4G18490.6
AT4G18490.7
AT4G18500.1
AT4G18501.1
AT4G18510.1
AT4G18520.1
AT4G18530.1
AT4G18530.2
AT4G18530.3
AT4G18540.1
AT4G18540.2
AT4G18550.1
AT4G18550.2
AT4G18550.3
AT4G18570.1
AT4G18570.2
AT4G18580.1
AT4G18580.2
AT4G18590.1
AT4G18593.1
AT4G18593.2
AT4G18596.1
AT4G18596.2
AT4G18600.1
AT4G18600.2
AT4G18600.3
AT4G18600.4
AT4G18600.5
AT4G18610.1
AT4G18620.1
AT4G18630.1
AT4G18640.1
AT4G18650.1
AT4G18660.1
AT4G18670.1
AT4G18680.1
AT4G18690.1
AT4G18692.1
AT4G18700.1
AT4G18710.1
AT4G18710.2
AT4G18720.1
AT4G18730.1
AT4G18740 protein
AT4G18740.1
AT4G18740.2
AT4G18740.3
AT4G18740.4
AT4G18750.1
AT4G18760.1
AT4G18770.1
AT4G18780.1
AT4G18790.1
AT4G18800.1
AT4G18810.1
AT4G18810.2
AT4G18820.1
AT4G18823.1
AT4G18830.1
AT4G18840.1
AT4G18840.2
AT4G18840.3
AT4G18860.1
AT4G18870.1
AT4G18880.1
AT4G18890.1
AT4G18890.2
AT4G18900.1
AT4G18905.1
AT4G18905.2
AT4G18910.1
AT4G18910.2
AT4G18920.1
AT4G18930.1
AT4G18940.1
AT4G18950 protein
AT4G18950.1
AT4G18950.2
AT4G18960.1
AT4G18960.2
AT4G18960.3
AT4G18960.4
AT4G18970.1
AT4G18970.2
AT4G18975.1
AT4G18975.2
AT4G18975.3
AT4G18975.4
AT4G18980.1
AT4G18990.1
AT4G18990.2
AT4G19000.1
AT4G19003.1
AT4G19003.2
AT4G19003.3
AT4G19003.4
AT4G19003.5
AT4G19003.6
AT4G19006.1
AT4G19006.2
AT4G19010-MONOMER
AT4G19010.1
AT4G19020.1
AT4G19020.2
AT4G19030.1
AT4G19030.2
AT4G19030.3
AT4G19035.1
AT4G19038.1
AT4G19040.1
AT4G19040.2
AT4G19040.3
AT4G19045.1
AT4G19050.1
AT4G19060.1
AT4G19070.1
AT4G19070.2
AT4G19080.1
AT4G19090.1
AT4G19095.1
AT4G19100.1
AT4G19100.2
AT4G19110.1
AT4G19110.2
AT4G19110.3
AT4G19120.1
AT4G19120.2
AT4G19120.3
AT4G19130.1
AT4G19130.2
AT4G19140.1
AT4G19150.1
AT4G19150.2
AT4G19160.1
AT4G19160.2
AT4G19160.3
AT4G19160.4
AT4G19170.1
AT4G19180.2
AT4G19180.3
AT4G19185.1
AT4G19185.2
AT4G19190.1
AT4G19191.1
AT4G19200.1
AT4G19210.1
AT4G19220.1
AT4G19230-MONOMER
AT4G19230.1
AT4G19230.2
AT4G19240.1
AT4G19250.1
AT4G19260.1
AT4G19270.1
AT4G19275.1
AT4G19330.1
AT4G19340.1
AT4G19350.1
AT4G19360.1
AT4G19360.2
AT4G19370.1
AT4G19380.1
AT4G19380.2
AT4G19390.1
AT4G19390.2
AT4G19400.1
AT4G19410.1
AT4G19410.2
AT4G19420.1
AT4G19420.2
AT4G19420.3
AT4G19420.4
AT4G19430.1
AT4G19440.1
AT4G19440.2
AT4G19440.3
AT4G19440.4
AT4G19450.1
AT4G19450.2
AT4G19460.1
AT4G19470.1
AT4G19480.1
AT4G19485.1
AT4G19490.1
AT4G19490.2
AT4G19500.1
AT4G19500.2
AT4G19510.1
AT4G19510.10
AT4G19510.2
AT4G19510.3
AT4G19510.4
AT4G19510.5
AT4G19510.6
AT4G19510.7
AT4G19510.8
AT4G19510.9
AT4G19520.1
AT4G19520.2
AT4G19520.3
AT4G19520.4
AT4G19520.5
AT4G19530.1
AT4G19530.2
AT4G19540.1
AT4G19550.1
AT4G19550.2
AT4G19560.1
AT4G19560.2
AT4G19570.1
AT4G19580.1
AT4G19590.1
AT4G19590.2
AT4G19590.3
AT4G19600.1
AT4G19610.1
AT4G19620.1
AT4G19630.1
AT4G19640.1
AT4G19640.2
AT4G19640.3
AT4G19645.1
AT4G19645.2
AT4G19645.3
AT4G19645.4
AT4G19645.5
AT4G19650.1
AT4G19650.2
AT4G19660.1
AT4G19660.2
AT4G19670.1
AT4G19670.2
AT4G19670.3
AT4G19670.4
AT4G19670.5
AT4G19670.6
AT4G19670.7
AT4G19680-MONOMER
AT4G19680.1
AT4G19680.2
AT4G19690-MONOMER
AT4G19690.1
AT4G19690.2
AT4G19700.1
AT4G19710-MONOMER
AT4G19710.1
AT4G19710.2
AT4G19720.1
AT4G19730.1
AT4G19740.1
AT4G19750.1
AT4G19760.1
AT4G19770.1
AT4G19800.1
AT4G19810.1
AT4G19810.2
AT4G19820.1
AT4G19830.1
AT4G19840.1
AT4G19850.1
AT4G19850.2
AT4G19850.3
AT4G19860.1
AT4G19865.1
AT4G19870.1
AT4G19870.2
AT4G19880
AT4G19880.1
AT4G19880.3
AT4G19890.1
AT4G19900.1
AT4G19900.2
AT4G19905.1
AT4G19910.1
AT4G19920.1
AT4G19925.1
AT4G19930.1
AT4G19940.1
AT4G19950.1
AT4G19960.1
AT4G19960.2
AT4G19960.3
AT4G19960.4
AT4G19970.1
AT4G19975.1
AT4G19980.1
AT4G19985.1
AT4G19985.2
AT4G19985.3
AT4G19985.4
AT4G19985.5
AT4G19985.6
AT4G19985.7
AT4G19990.1
AT4G19990.2
AT4G19990.3
AT4G19990.4
AT4G19990.5
AT4G19990.6
AT4G19990.7
AT4G20000.1
AT4G20010.1
AT4G20010.2
AT4G20020.1
AT4G20020.2
AT4G20030.1
AT4G20040
AT4G20050.1
AT4G20050.2
AT4G20050.3
AT4G20050.4
AT4G20050.5
AT4G20050.6
AT4G20050.7
AT4G20060.1
AT4G20070.1
AT4G20070.2
AT4G20080.1
AT4G20090.1
AT4G20090.2
AT4G20095.1
AT4G20095.2
AT4G20095.3
AT4G20100.1
AT4G20110.1
AT4G20110.2
AT4G20130.1
AT4G20130.2
AT4G20130.3
AT4G20140.1
AT4G20150.1
AT4G20160.1
AT4G20160.2
AT4G20160.3
AT4G20170.1
AT4G20190.1
AT4G20220.1
AT4G20230.1
AT4G20230.2
AT4G20235.1
AT4G20235.2
AT4G20240
AT4G20240.2
AT4G20250.1
AT4G20260.1
AT4G20260.10
AT4G20260.2
AT4G20260.3
AT4G20260.4
AT4G20260.5
AT4G20260.6
AT4G20260.7
AT4G20260.8
AT4G20260.9
AT4G20270.1
AT4G20280.1
AT4G20290.1
AT4G20300.1
AT4G20300.2
AT4G20310.1
AT4G20310.2
AT4G20310.3
AT4G20310.4
AT4G20310.5
AT4G20310.6
AT4G20310.7
AT4G20310.8
AT4G20310.9
AT4G20320.1
AT4G20320.2
AT4G20320.3
AT4G20320.4
AT4G20320.5
AT4G20320.6
AT4G20325.1
AT4G20325.2
AT4G20330.1
AT4G20340.1
AT4G20340.2
AT4G20340.3
AT4G20350.1
AT4G20350.10
AT4G20350.11
AT4G20350.2
AT4G20350.3
AT4G20350.4
AT4G20350.5
AT4G20350.6
AT4G20350.7
AT4G20350.8
AT4G20350.9
AT4G20360.1
AT4G20360.2
AT4G20370.1
AT4G20380.1
AT4G20380.2
AT4G20380.3
AT4G20380.4
AT4G20380.5
AT4G20380.6
AT4G20380.7
AT4G20380.8
AT4G20380.9
AT4G20390.1
AT4G20400.1
AT4G20400.2
AT4G20410.1
AT4G20410.2
AT4G20420.1
AT4G20430.1
AT4G20430.2
AT4G20430.3
AT4G20440.1
AT4G20440.2
AT4G20440.3
AT4G20440.4
AT4G20440.5
AT4G20450.1
AT4G20450.2
AT4G20460-MONOMER
AT4G20460.1
AT4G20470.1
AT4G20480.1
AT4G20480.2
AT4G20520.1
AT4G20530.1
AT4G20535.1
AT4G20540.1
AT4G20545.1
AT4G20550.1
AT4G20555.1
AT4G20560.1
AT4G20565.1
AT4G20570.1
AT4G20575.1
AT4G20580.1
AT4G20590.1
AT4G20600.1
AT4G20610.1
AT4G20620.1
AT4G20630.1
AT4G20640.1
AT4G20645.1
AT4G20650.1
AT4G20670.1
AT4G20680.1
AT4G20690.1
AT4G20700.1
AT4G20700.2
AT4G20703.1
AT4G20707.1
AT4G20720.1
AT4G20720.2
AT4G20735.1
AT4G20740.1
AT4G20760.1
AT4G20760.2
AT4G20770.1
AT4G20780.1
AT4G20790.1
AT4G20800.1
AT4G20810.1
AT4G20820
AT4G20830.1
AT4G20830.2
AT4G20835.1
AT4G20840.1
AT4G20850.1
AT4G20860
AT4G20870-MONOMER
AT4G20870.1
AT4G20870.2
AT4G20880.1
AT4G20890.1
AT4G20900.1
AT4G20900.2
AT4G20910.1
AT4G20910.2
AT4G20920.1
AT4G20920.2
AT4G20920.3
AT4G20920.4
AT4G20920.5
AT4G20930-MONOMER
AT4G20930.1
AT4G20930.2
AT4G20935.1
AT4G20940.1
AT4G20947.1
AT4G20953.1
AT4G20960.1
AT4G20970.1
AT4G20980.1
AT4G20980.2
AT4G20980.3
AT4G20980.4
AT4G20990.1
AT4G21000.1
AT4G21010.1
AT4G21020.1
AT4G21030.1
AT4G21040.1
AT4G21050.1
AT4G21060.1
AT4G21060.2
AT4G21063.1
AT4G21065.1
AT4G21065.2
AT4G21070.1
AT4G21080.1
AT4G21090.1
AT4G21090.2
AT4G21090.3
AT4G21100.1
AT4G21105.1
AT4G21105.2
AT4G21105.3
AT4G21110.1
AT4G21110.2
AT4G21120.1
AT4G21120.2
AT4G21130.1
AT4G21140.1
AT4G21150.1
AT4G21150.2
AT4G21150.3
AT4G21160.1
AT4G21160.2
AT4G21160.3
AT4G21160.4
AT4G21170.1
AT4G21180.1
AT4G21180.2
AT4G21190.1
AT4G21192.1
AT4G21192.2
AT4G21200.1
AT4G21200.2
AT4G21200.3
AT4G21210.1
AT4G21210.2
AT4G21213.1
AT4G21215 protein
AT4G21215.1
AT4G21215.2
AT4G21220.1
AT4G21230.1
AT4G21240.1
AT4G21250.1
AT4G21260.1
AT4G21270.1
AT4G21280.1
AT4G21280.2
AT4G21300.1
AT4G21310.1
AT4G21310.2
AT4G21320.1
AT4G21323.1
AT4G21326.1
AT4G21330.1
AT4G21340.1
AT4G21350.1
AT4G21366.1
AT4G21380.1
AT4G21380.2
AT4G21390.1
AT4G21390.2
AT4G21400.1
AT4G21400.2
AT4G21400.3
AT4G21400.4
AT4G21400.5
AT4G21400.6
AT4G21400.7
AT4G21400.8
AT4G21410.1
AT4G21410.2
AT4G21410.3
AT4G21430.1
AT4G21440.1
AT4G21445.1
AT4G21450.1
AT4G21450.2
AT4G21450.3
AT4G21460.1
AT4G21460.2
AT4G21470-MONOMER
AT4G21470.1
AT4G21480.1
AT4G21490.1
AT4G21490.2
AT4G21500.1
AT4G21510.1
AT4G21510.2
AT4G21515.1
AT4G21520.1
AT4G21520.2
AT4G21530.1
AT4G21534
AT4G21534.2
AT4G21540.1
AT4G21540.2
AT4G21540.3
AT4G21550.1
AT4G21550.2
AT4G21550.3
AT4G21560.1
AT4G21560.2
AT4G21560.3
AT4G21570.1
AT4G21570.2
AT4G21580
AT4G21580 protein
AT4G21580.2
AT4G21580.3
AT4G21585.1
AT4G21585.2
AT4G21585.3
AT4G21585.4
AT4G21585.5
AT4G21585.6
AT4G21590.1
AT4G21590.2
AT4G21600.1
AT4G21610.1
AT4G21610.2
AT4G21620.1
AT4G21620.2
AT4G21630.1
AT4G21640.1
AT4G21650.1
AT4G21660.1
AT4G21660.2
AT4G21660.3
AT4G21670.1
AT4G21680.1
AT4G21690.1
AT4G21700.1
AT4G21705.1
AT4G21710.1
AT4G21720.1
AT4G21720.2
AT4G21720.3
AT4G21740.1
AT4G21745.1
AT4G21750.1
AT4G21750.2
AT4G21750.3
AT4G21750.4
AT4G21760.1
AT4G21760.2
AT4G21770.1
AT4G21770.2
AT4G21780.1
AT4G21780.2
AT4G21780.3
AT4G21790.1
AT4G21800.1
AT4G21800.2
AT4G21810.1
AT4G21820.1
AT4G21820.2
AT4G21820.3
AT4G21830.1
AT4G21830.2
AT4G21840.1
AT4G21850.1
AT4G21850.2
AT4G21860.1
AT4G21860.2
AT4G21860.3
AT4G21860.4
AT4G21865.1
AT4G21870.1
AT4G21880.1
AT4G21880.2
AT4G21890.1
AT4G21895.1
AT4G21895.2
AT4G21900.1
AT4G21902.1
AT4G21903.1
AT4G21903.2
AT4G21903.3
AT4G21910.1
AT4G21910.2
AT4G21910.3
AT4G21910.4
AT4G21920.1
AT4G21926.1
AT4G21930.1
AT4G21940.1
AT4G21940.2
AT4G21940.3
AT4G21950.1
AT4G21970.1
AT4G21980.1
AT4G21980.2
AT4G21990.2
AT4G22000.1
AT4G22030.1
AT4G22035.1
AT4G22050.1
AT4G22060.1
AT4G22070.1
AT4G22070.2
AT4G22070.3
AT4G22070.4
AT4G22080.1
AT4G22090.1
AT4G22100.1
AT4G22105.1
AT4G22110.1
AT4G22110.2
AT4G22110.3
AT4G22115.1
AT4G22120.1
AT4G22120.2
AT4G22120.3
AT4G22120.4
AT4G22120.5
AT4G22120.6
AT4G22130.1
AT4G22130.2
AT4G22140.1
AT4G22140.2
AT4G22140.3
AT4G22150.1
AT4G22160.1
AT4G22160.2
AT4G22165.1
AT4G22170.1
AT4G22180.1
AT4G22190.1
AT4G22200.1
AT4G22200.2
AT4G22210.1
AT4G22210.2
AT4G22212.1
AT4G22214.1
AT4G22217.1
AT4G22220.1
AT4G22230.1
AT4G22230.2
AT4G22235.1
AT4G22235.2
AT4G22240.1
AT4G22250.1
AT4G22260.1
AT4G22270.1
AT4G22270.2
AT4G22280.1
AT4G22280.2
AT4G22285.1
AT4G22285.2
AT4G22290.1
AT4G22300.1
AT4G22305.1
AT4G22305.2
AT4G22310.1
AT4G22320.1
AT4G22320.2
AT4G22330.1
AT4G22340.1
AT4G22340.2
AT4G22340.3
AT4G22350.1
AT4G22350.2
AT4G22350.3
AT4G22350.4
AT4G22360.1
AT4G22370.1
AT4G22370.2
AT4G22370.3
AT4G22380.1
AT4G22390.1
AT4G22390.2
AT4G22400.1
AT4G22410.1
AT4G22410.2
AT4G22430.1
AT4G22440.1
AT4G22460.1
AT4G22463.1
AT4G22467.1
AT4G22470.1
AT4G22475.1
AT4G22475.2
AT4G22485.1
AT4G22490.1
AT4G22495.1
AT4G22505.1
AT4G22510.1
AT4G22510.2
AT4G22513.1
AT4G22517.1
AT4G22520.1
AT4G22530.1
AT4G22530.2
AT4G22540.1
AT4G22540.2
AT4G22540.3
AT4G22540.4
AT4G22540.5
AT4G22540.6
AT4G22550.1
AT4G22560.1
AT4G22570.1
AT4G22570.2
AT4G22580.1
AT4G22590.1
AT4G22600.1
AT4G22610.1
AT4G22620.1
AT4G22630.1
AT4G22630.2
AT4G22640.1
AT4G22640.2
AT4G22650.1
AT4G22660.1
AT4G22666.1
AT4G22666.2
AT4G22670.1
AT4G22680.1
AT4G22690
AT4G22700.1
AT4G22710
AT4G22720
AT4G22720.2
AT4G22730.1
AT4G22730.2
AT4G22740.1
AT4G22740.2
AT4G22745.1
AT4G22750.1
AT4G22755.1
AT4G22756.1
AT4G22758.1
AT4G22758.2
AT4G22760.1
AT4G22770.1
AT4G22770.2
AT4G22780.1
AT4G22780.2
AT4G22790.1
AT4G22810.1
AT4G22820.1
AT4G22820.2
AT4G22830.1
AT4G22830.2
AT4G22840.1
AT4G22850.1
AT4G22850.2
AT4G22860.1
AT4G22860.2
AT4G22860.3
AT4G22870-MONOMER
AT4G22870.1
AT4G22870.2
AT4G22880.1
AT4G22880.2
AT4G22880.3
AT4G22890.1
AT4G22890.2
AT4G22890.3
AT4G22890.4
AT4G22890.5
AT4G22900.1
AT4G22910.1
AT4G22920.1
AT4G22920.2
AT4G22930.1
AT4G22930.2
AT4G22940.1
AT4G22940.2
AT4G22950.1
AT4G22950.2
AT4G22950.3
AT4G22960.1
AT4G22970.1
AT4G22970.2
AT4G22970.3
AT4G22980.1
AT4G22990.1
AT4G22990.2
AT4G22990.3
AT4G23000.1
AT4G23000.2
AT4G23010.1
AT4G23010.2
AT4G23010.3
AT4G23015.1
AT4G23020.1
AT4G23020.2
AT4G23030.1
AT4G23040.1
AT4G23050.1
AT4G23050.2
AT4G23060.1
AT4G23070.1
AT4G23080.1
AT4G23090.1
AT4G23090.2
AT4G23100.1
AT4G23100.2
AT4G23100.3
AT4G23110.1
AT4G23120.1
AT4G23130.1
AT4G23130.2
AT4G23130.3
